place_name,description,state,view,from_date_1,to_date_1,from_date,to_date,price,original_price,price_str,rating,no_of_rates
Home in Hammonton,Sweetwater House on the Mullica River,Illinois,139,4/19/2023,4/24/2023,4/19/2023,4/24/2023,398,398,$398 night$398 per night,4.9,21
Guesthouse in Lawrence Township,Adorable studio cottage near Princeton,Illinois,156,4/29/2023,5/4/2023,4/29/2023,5/4/2023,116,116,$116 night$116 per night,4.8,93
Bungalow in Lavallette,Ocean Beach III Shore Bungalow,Illinois,113,4/19/2023,4/24/2023,4/19/2023,4/24/2023,150,200,"$200 $150 night$150 per night, originally $200",4.9,53
Apartment in Asbury Park,"Asbury Park Gem #3, Sleeps up to 4 in 1bd apt.!",Illinois,235,5/15/2023,5/20/2023,5/15/2023,5/20/2023,154,154,$154 night$154 per night,4.9,81
Apartment in Wall Township,"Beautiful Apartment, near Marina & Beach in Belmar",Illinois,124,4/20/2023,4/26/2023,4/20/2023,4/26/2023,154,154,$154 night$154 per night,4.8,43
Home in Princeton,Einstein Lounge in Downtown-2 BR w/Loft & Parking,Illinois,106,4/29/2023,5/4/2023,4/29/2023,5/4/2023,265,265,$265 night$265 per night,4.9,142
Cottage in Lavallette,Cute Cottage,Illinois,312,5/14/2023,5/19/2023,5/14/2023,5/19/2023,118,155,"$155 $118 night$118 per night, originally $155",4.9,91
Home in Berkeley Township,"Walk to Bay Beach, Quiet Dirt Road Fireplace & Pit",Illinois,213,5/1/2023,5/8/2023,5/1/2023,5/8/2023,171,227,"$227 $171 night$171 per night, originally $227",4.9,348
Condo in Seaside Heights,5-minute walk to beach! Seaside Heights 2 bedroom!,Illinois,194,4/23/2023,4/28/2023,4/23/2023,4/28/2023,135,178,"$178 $135 night$135 per night, originally $178",4.9,36
Home in Seaside Heights,Steps Away from Seaside Heights Boardwalk!,Illinois,281,4/23/2023,4/28/2023,4/23/2023,4/28/2023,140,140,$140 night$140 per night,4.8,111
Home in Lavallette,Shore Haven Walk to beach and bay,Illinois,120,5/4/2023,5/9/2023,5/4/2023,5/9/2023,260,260,$260 night$260 per night,5,87
Apartment in Neptune Township,Two Bedroom || 2.5 Blocks To The Beach,Illinois,178,4/22/2023,4/27/2023,4/22/2023,4/27/2023,160,160,$160 night$160 per night,4.8,146
Guesthouse in Seaside Park,Unique Spanish Villa (no loud parties),Illinois,270,4/23/2023,4/28/2023,4/23/2023,4/28/2023,199,199,$199 night$199 per night,4.9,462
Apartment in Hammonton,Casa de Sweetwater- 3 bedroom- Waterfront,Illinois,105,4/19/2023,4/24/2023,4/19/2023,4/24/2023,360,360,$360 night$360 per night,5,39
Condo in Beach Haven,Good Times & Tan Lines @ the Victoria Rose,Illinois,133,4/19/2023,4/26/2023,4/19/2023,4/26/2023,199,199,$199 night$199 per night,4.8,22
Home in Long Branch,New house! 3 blocks to the beach!,Illinois,600,5/21/2023,5/26/2023,5/21/2023,5/26/2023,420,420,$420 night$420 per night,5,19
Apartment in Asbury Park,Lovely 1-Bedroom Apartment Steps from AP Beaches,Illinois,144,4/24/2023,4/29/2023,4/24/2023,4/29/2023,153,305,"$305 $153 night$153 per night, originally $305",4.8,5
Home in Belmar,"Cheerful Home, 3B, 3B, 2 Blocks to the Ocean",Illinois,268,5/7/2023,5/12/2023,5/7/2023,5/12/2023,250,300,"$300 $250 night$250 per night, originally $300",5,23
Home in Point Pleasant Beach,Walk To Beach From Stylish Home,Illinois,541,4/23/2023,4/28/2023,4/23/2023,4/28/2023,263,343,"$343 $263 night$263 per night, originally $343",4.9,11
Apartment in Seaside Heights,"Ocean Block apartment unit B,steps away from beach",Illinois,189,4/30/2023,5/5/2023,4/30/2023,5/5/2023,132,132,$132 night$132 per night,4.8,27
Home in Atlantic Highlands,Renovated Modern Farmhouse Near Woods and Beach,Illinois,123,5/3/2023,5/8/2023,5/3/2023,5/8/2023,399,399,$399 night$399 per night,5,15
Home in Neptune City,Brand New Bradley Park Beach House!,Illinois,143,5/11/2023,5/18/2023,5/11/2023,5/18/2023,272,320,"$320 $272 night$272 per night, originally $320",4.8,6
Apartment in Highlands,NJ Shore/Waterview/Beach Escape/Sandy Hook,Illinois,149,5/18/2023,5/23/2023,5/18/2023,5/23/2023,215,215,$215 night$215 per night,4.9,82
Tiny home in Belmar,Best Couples Retreat Greatest Location of Belmar,Illinois,183,4/30/2023,5/5/2023,4/30/2023,5/5/2023,220,220,$220 night$220 per night,4.8,135
Home in Long Beach Township,Cabin by the Sea w/ parking in Beach Haven,Illinois,173,4/23/2023,4/29/2023,4/23/2023,4/29/2023,258,258,$258 night$258 per night,4.9,55
Home in Seaside Heights,Next to Seaside Boardwalk! - Spacious 3 Bedroom,Illinois,290,4/23/2023,4/28/2023,4/23/2023,4/28/2023,165,165,$165 night$165 per night,4.9,30
Home in Stafford Township,The Mullet House-Business in front…party in back !,Illinois,151,4/21/2023,4/26/2023,4/21/2023,4/26/2023,300,300,$300 night$300 per night,5,18
Vacation home in Neptune Township,Boutique Ocean Grove & Asbury Park Sea View Gem!!,Illinois,117,4/19/2023,4/24/2023,4/19/2023,4/24/2023,349,500,"$500 $349 night$349 per night, originally $500",4.9,30
Bungalow in Point Pleasant Beach,Pt. Pleasant Bch bungalow 60 steps from Beach,Illinois,188,4/19/2023,4/24/2023,4/19/2023,4/24/2023,225,265,"$265 $225 night$225 per night, originally $265",4.9,33
Home in Ocean Gate,"Modern Beach Town Home, Heated Pool Hot & Tub",Illinois,262,4/19/2023,4/24/2023,4/19/2023,4/24/2023,490,490,$490 night$490 per night,4.9,48
Cottage in Ship Bottom,Adorable 2 Bedroom Bayfront Cottage,Illinois,137,4/24/2023,4/29/2023,4/24/2023,4/29/2023,241,241,$241 night$241 per night,4.8,9
Vacation home in Manasquan,Sunny Beach House with Ocean View,Illinois,123,8/1/2023,8/6/2023,8/1/2023,8/6/2023,704,704,$704 night$704 per night,4.9,15
Home in Manasquan,Manasquan Mermaid Manor LLC,Illinois,257,4/19/2023,4/26/2023,4/19/2023,4/26/2023,225,250,"$250 $225 night$225 per night, originally $250",4.9,71
Townhouse in Seaside Heights,3BR 2BA One-Block Walk to Seaside Hgts Boardwalk,Illinois,165,4/29/2023,5/4/2023,4/29/2023,5/4/2023,225,225,$225 night$225 per night,4.8,110
Home in Allentown,Hidden Pond Farm Estates featuring a huge pool,Illinois,202,4/20/2023,4/25/2023,4/20/2023,4/25/2023,624,624,$624 night$624 per night,4.9,144
Vacation home in Stafford Township,The Marsh Bungalow - a NEW Home 2 miles from LBI!,Illinois,272,5/29/2023,6/3/2023,5/29/2023,6/3/2023,410,410,$410 night$410 per night,4.9,23
Home in Asbury Park,Asbury Park Gem - Dogs Welcome!,Illinois,142,5/14/2023,5/20/2023,5/14/2023,5/20/2023,450,450,$450 night$450 per night,4.8,11
Home in Ocean Gate,The perfect place to escape,Illinois,100,5/11/2023,5/17/2023,5/11/2023,5/17/2023,475,475,$475 night$475 per night,4.9,155
Home in Lambertville,"Charming Vintage House, Great Location w/Parking",Illinois,171,5/14/2023,5/19/2023,5/14/2023,5/19/2023,301,301,$301 night$301 per night,4.9,97
Vacation home in Seaside Heights,Oceanview Beachfront Sleeps 12 w/ Hot Tub,Illinois,357,4/19/2023,4/24/2023,4/19/2023,4/24/2023,535,599,"$599 $535 night$535 per night, originally $599",4.9,22
Home in Surf City,"Cozy beach house, steps from the bay and ocean",Illinois,116,4/30/2023,5/5/2023,4/30/2023,5/5/2023,240,240,$240 night$240 per night,4.9,11
Place to stay in Lambertville,Quaint Cottage in Lambertville,Illinois,140,4/24/2023,4/29/2023,4/24/2023,4/29/2023,179,179,$179 night$179 per night,4.9,329
Home in Ocean Township,House on the Lagoon,Illinois,103,4/20/2023,4/25/2023,4/20/2023,4/25/2023,420,420,$420 night$420 per night,5,33
Cottage in Seaside Heights,"Cute cottage 300 ft to beach, off-street parking",Illinois,222,4/19/2023,4/24/2023,4/19/2023,4/24/2023,270,270,$270 night$270 per night,4.9,12
Home in Neptune Township,The perfect Ocean Grove getaway. Book Now!,Illinois,113,4/29/2023,5/4/2023,4/29/2023,5/4/2023,450,450,$450 night$450 per night,4.9,50
Home in Seaside Heights,132H! Large Luxury Beach House Seaside Heights,Illinois,116,4/19/2023,4/24/2023,4/19/2023,4/24/2023,270,270,$270 night$270 per night,4.9,63
Private room in Seaside Heights,Ortley Beach,Indiana,234,5/7/2023,5/13/2023,5/7/2023,5/13/2023,52,52,$52 night$52 per night,4.8,321
Home in Barnegat Light,2 Night Minimum LBI Barnegat Light NJ 2 BR 1 B,Indiana,257,4/23/2023,4/30/2023,4/23/2023,4/30/2023,140,178,"$178 $140 night$140 per night, originally $178",4.9,205
Cottage in Lake Como,Sea Glass & Lavender Cottage,Indiana,236,5/8/2023,5/14/2023,5/8/2023,5/14/2023,103,142,"$142 $103 night$103 per night, originally $142",4.9,70
Home in Berlin,100% Private Fits 1 to 9 Guests,Indiana,178,4/23/2023,4/28/2023,4/23/2023,4/28/2023,69,99,"$99 $69 night$69 per night, originally $99",4.8,41
Private room in Beachwood,"Almost ""down by the river side"" (green room)",Indiana,134,4/28/2023,5/5/2023,4/28/2023,5/5/2023,68,68,$68 night$68 per night,4.9,181
Private room in Asbury Park,Large private bedroom in Asbury Park,Indiana,216,4/23/2023,4/28/2023,4/23/2023,4/28/2023,60,60,$60 night$60 per night,4.9,61
Private room in New Brunswick,Rm #3 Lg Private Rm by Rutgers+NYC + Jersey Shore,Indiana,146,4/27/2023,5/2/2023,4/27/2023,5/2/2023,55,55,$55 night$55 per night,4.9,665
Farm stay in Pemberton,Private Apartment. Welcome to the farm!,Indiana,131,4/30/2023,5/5/2023,4/30/2023,5/5/2023,129,129,$129 night$129 per night,4.9,205
Condo in Long Beach Township,Cozy LBI Studio close to the beach.,Indiana,211,4/23/2023,4/28/2023,4/23/2023,4/28/2023,109,109,$109 night$109 per night,4.9,412
Guesthouse in Highlands,The Bungalow at Sandy Hook House,Indiana,173,5/14/2023,5/21/2023,5/14/2023,5/21/2023,156,156,$156 night$156 per night,4.8,14
Guesthouse in Lawrence Township,Adorable studio cottage near Princeton,Indiana,156,4/29/2023,5/4/2023,4/29/2023,5/4/2023,116,116,$116 night$116 per night,4.8,93
Home in Little Egg Harbor Township,Blue Lagoon Retreat w/ Dock & Water Toys!,Indiana,124,4/23/2023,4/28/2023,4/23/2023,4/28/2023,159,179,"$179 $159 night$159 per night, originally $179",4.9,46
Home in Red Bank,Quiet 2 bedroom with resort setting,Indiana,140,4/24/2023,4/29/2023,4/24/2023,4/29/2023,150,150,$150 night$150 per night,4.9,43
Home in Berkeley Township,Sunsets that never quit!,Indiana,309,4/23/2023,4/28/2023,4/23/2023,4/28/2023,195,250,"$250 $195 night$195 per night, originally $250",4.9,155
Home in Neptune Township,The Stockton - Victorian Ocean Grove near Asbury,Indiana,237,4/27/2023,5/3/2023,4/27/2023,5/3/2023,163,163,$163 night$163 per night,4.9,272
Condo in Hopewell,Private apartment in 1890’s chocolate factory.,Indiana,153,5/7/2023,5/12/2023,5/7/2023,5/12/2023,175,175,$175 night$175 per night,4.8,82
Apartment in Point Pleasant Beach,Close to beach,Indiana,125,5/6/2023,5/13/2023,5/6/2023,5/13/2023,144,144,$144 night$144 per night,4.8,309
Vacation home in Asbury Park,Brand new vacation home near downtown,Indiana,227,4/23/2023,4/28/2023,4/23/2023,4/28/2023,164,164,$164 night$164 per night,4.9,42
Home in Hammonton,Sweetwater House on the Mullica River,Indiana,139,4/19/2023,4/24/2023,4/19/2023,4/24/2023,398,398,$398 night$398 per night,4.9,21
Cottage in Lavallette,Cute Cottage,Indiana,312,5/14/2023,5/19/2023,5/14/2023,5/19/2023,118,155,"$155 $118 night$118 per night, originally $155",4.9,91
Condo in Seaside Park,Cozy Seaside Park Condo,Indiana,151,4/24/2023,4/30/2023,4/24/2023,4/30/2023,85,100,"$100 $85 night$85 per night, originally $100",4.9,29
Guesthouse in Seaside Park,Little Cottage Steps from the Beach,Indiana,107,9/30/2023,10/5/2023,9/30/2023,10/5/2023,86,86,$86 night$86 per night,4.9,127
Bungalow in Lavallette,Ocean Beach III Shore Bungalow,Indiana,113,4/19/2023,4/24/2023,4/19/2023,4/24/2023,150,200,"$200 $150 night$150 per night, originally $200",4.9,53
Condo in Matawan,"1 Bedroom,1 Bath,1 Full Kit,1 Liv Rm Furnished 311",Indiana,214,5/7/2023,5/12/2023,5/7/2023,5/12/2023,99,99,$99 night$99 per night,4.8,85
Home in Keansburg,Welcome to Paradise!!! The perfect beach cottage!,Indiana,166,4/23/2023,4/28/2023,4/23/2023,4/28/2023,247,247,$247 night$247 per night,4.8,29
Bungalow in Point Pleasant Beach,"Beach Bungalow w/WiFi, 40% off weekdays in April!",Indiana,224,5/6/2023,5/11/2023,5/6/2023,5/11/2023,232,232,$232 night$232 per night,4.9,145
Home in Seaside Heights,Steps Away from Seaside Heights Boardwalk!,Indiana,281,4/23/2023,4/28/2023,4/23/2023,4/28/2023,140,140,$140 night$140 per night,4.8,111
Home in Monroe Township,Experience the perfect blend of nature & comfort!,Indiana,108,5/13/2023,5/18/2023,5/13/2023,5/18/2023,117,117,$117 night$117 per night,4.9,68
Cottage in Middletown,Cozy Cottage Retreat on North Jersey Shore,Indiana,104,4/25/2023,4/30/2023,4/25/2023,4/30/2023,149,149,$149 night$149 per night,4.9,90
Guesthouse in Seaside Park,Unique Spanish Villa (no loud parties),Indiana,270,4/23/2023,4/28/2023,4/23/2023,4/28/2023,199,199,$199 night$199 per night,4.9,462
Townhouse in Beach Haven,Loft Style 1 Bedroom In The Heart of Beach Haven!,Indiana,157,5/12/2023,5/17/2023,5/12/2023,5/17/2023,NA,NA,€ 440 night€ 440 per night,4.9,32
Home in New Hope,Charming Victorian in the heart of New Hope,Indiana,114,5/2/2023,5/7/2023,5/2/2023,5/7/2023,NA,NA,€ 315 night€ 315 per night,4.9,166
Apartment in Asbury Park,Lovely 1-Bedroom Apartment Steps from AP Beaches,Indiana,144,4/24/2023,4/29/2023,4/24/2023,4/29/2023,NA,NA,"€ 352 € 213 night€ 213 per night, originally € 352",4.8,5
Home in Lavallette,Shore Haven Walk to beach and bay,Indiana,120,5/4/2023,5/9/2023,5/4/2023,5/9/2023,NA,NA,€ 325 night€ 325 per night,5,87
Home in Ocean Township,House on the Lagoon,Indiana,103,4/20/2023,4/25/2023,4/20/2023,4/25/2023,NA,NA,€ 545 night€ 545 per night,5,33
Home in Atlantic Highlands,Renovated Modern Farmhouse Near Woods and Beach,Indiana,123,5/3/2023,5/8/2023,5/3/2023,5/8/2023,NA,NA,€ 503 night€ 503 per night,5,15
Apartment in Hammonton,Casa de Sweetwater- 3 bedroom- Waterfront,Indiana,105,4/19/2023,4/24/2023,4/19/2023,4/24/2023,NA,NA,€ 452 night€ 452 per night,5,39
Home in Spring Lake,Entire House in Spring Lake Heights,Indiana,120,5/13/2023,5/18/2023,5/13/2023,5/18/2023,NA,NA,€ 226 night€ 226 per night,4.9,63
Apartment in Highlands,NJ Shore/Waterview/Beach Escape/Sandy Hook,Indiana,149,5/18/2023,5/23/2023,5/18/2023,5/23/2023,NA,NA,€ 281 night€ 281 per night,4.9,82
Vacation home in Asbury Park,Brand new vacation home near downtown,Indiana,227,4/23/2023,4/28/2023,4/23/2023,4/28/2023,NA,NA,€ 212 night€ 212 per night,4.9,42
Home in Ocean Gate,The perfect place to escape,Indiana,100,5/11/2023,5/17/2023,5/11/2023,5/17/2023,NA,NA,€ 596 night€ 596 per night,4.9,155
Bungalow in Point Pleasant Beach,"Beach Bungalow w/WiFi, 40% off weekdays in April!",Indiana,224,5/6/2023,5/11/2023,5/6/2023,5/11/2023,NA,NA,€ 297 night€ 297 per night,4.9,145
Home in Sea Bright,Wake up w/ OCEAN Views in SEABRIGHT!!!,Indiana,134,4/19/2023,4/25/2023,4/19/2023,4/25/2023,199,249,"$249 $199 night$199 per night, originally $249",4.9,26
Cottage in Seaside Heights,"Cute cottage 300 ft to beach, off-street parking",Indiana,222,4/19/2023,4/24/2023,4/19/2023,4/24/2023,270,270,$270 night$270 per night,4.9,12
Condo in Seaside Heights,Jersey Shore Escape - Relax and make memories,Indiana,182,4/30/2023,5/5/2023,4/30/2023,5/5/2023,156,156,$156 night$156 per night,5,10
Home in Stafford Township,The Mullet House-Business in front…party in back !,Indiana,151,4/21/2023,4/26/2023,4/21/2023,4/26/2023,300,300,$300 night$300 per night,5,18
Home in Manasquan,Manasquan Mermaid Manor LLC,Indiana,257,4/19/2023,4/26/2023,4/19/2023,4/26/2023,225,250,"$250 $225 night$225 per night, originally $250",4.9,71
Home in Princeton,"Downtown Princeton-Clean, updated, beautiful home-",Indiana,115,6/4/2023,6/9/2023,6/4/2023,6/9/2023,250,250,$250 night$250 per night,4.8,49
Home in Point Pleasant Beach,Walk To Beach From Stylish Home,Indiana,541,4/23/2023,4/28/2023,4/23/2023,4/28/2023,263,343,"$343 $263 night$263 per night, originally $343",4.9,11
Home in Long Branch,New house! 3 blocks to the beach!,Indiana,600,5/21/2023,5/26/2023,5/21/2023,5/26/2023,420,420,$420 night$420 per night,5,19
Vacation home in Stafford Township,The Marsh Bungalow - a NEW Home 2 miles from LBI!,Indiana,272,5/29/2023,6/3/2023,5/29/2023,6/3/2023,410,410,$410 night$410 per night,4.9,23
Vacation home in Manasquan,Sunny Beach House with Ocean View,Indiana,123,8/1/2023,8/6/2023,8/1/2023,8/6/2023,704,704,$704 night$704 per night,4.9,15
Apartment in Seaside Heights,Ocean View Beach Block Retreat (1305-2),Indiana,126,4/19/2023,4/25/2023,4/19/2023,4/25/2023,205,205,$205 night$205 per night,4.9,75
Apartment in Seaside Heights,Beautiful Beach Block Retreat (1305-3),Indiana,233,4/27/2023,5/2/2023,4/27/2023,5/2/2023,240,240,$240 night$240 per night,4.8,84
Vacation home in Neptune Township,Boutique Ocean Grove & Asbury Park Sea View Gem!!,Indiana,117,4/19/2023,4/24/2023,4/19/2023,4/24/2023,349,500,"$500 $349 night$349 per night, originally $500",4.9,30
Vacation home in Seaside Heights,Oceanview Beachfront Sleeps 12 w/ Hot Tub,Indiana,357,4/19/2023,4/24/2023,4/19/2023,4/24/2023,535,599,"$599 $535 night$535 per night, originally $599",4.9,22
Townhouse in Seaside Heights,3BR 2BA One-Block Walk to Seaside Hgts Boardwalk,Indiana,165,4/29/2023,5/4/2023,4/29/2023,5/4/2023,225,225,$225 night$225 per night,4.8,110
Home in Asbury Park,Stunning Beach Retreat - Entire Home,Indiana,122,9/13/2023,9/18/2023,9/13/2023,9/18/2023,NA,NA,"$1,370 night$1,370 per night",5,17
Place to stay in Lambertville,Quaint Cottage in Lambertville,Indiana,140,4/24/2023,4/29/2023,4/24/2023,4/29/2023,179,179,$179 night$179 per night,4.9,329
Vacation home in Seaside Park,"Amazing 4 bedroom stay, 4 houses from the beach!",Indiana,189,4/23/2023,4/28/2023,4/23/2023,4/28/2023,200,275,"$275 $200 night$200 per night, originally $275",4.9,10
Home in Lambertville,"Charming Vintage House, Great Location w/Parking",Indiana,171,5/14/2023,5/19/2023,5/14/2023,5/19/2023,301,301,$301 night$301 per night,4.9,97
Private room in Seaside Heights,Ortley Beach,Iowa,234,5/7/2023,5/13/2023,5/7/2023,5/13/2023,52,52,$52 night$52 per night,4.8,321
Home in Berlin,100% Private Fits 1 to 9 Guests,Iowa,178,4/23/2023,4/28/2023,4/23/2023,4/28/2023,69,99,"$99 $69 night$69 per night, originally $99",4.8,41
Cottage in Lake Como,Sea Glass & Lavender Cottage,Iowa,236,5/8/2023,5/14/2023,5/8/2023,5/14/2023,103,142,"$142 $103 night$103 per night, originally $142",4.9,70
Private room in Beachwood,"Almost ""down by the river side"" (green room)",Iowa,134,4/28/2023,5/5/2023,4/28/2023,5/5/2023,68,68,$68 night$68 per night,4.9,181
Home in Barnegat Light,2 Night Minimum LBI Barnegat Light NJ 2 BR 1 B,Iowa,257,4/23/2023,4/30/2023,4/23/2023,4/30/2023,140,178,"$178 $140 night$140 per night, originally $178",4.9,205
Private room in Asbury Park,Large private bedroom in Asbury Park,Iowa,216,4/23/2023,4/28/2023,4/23/2023,4/28/2023,60,60,$60 night$60 per night,4.9,61
Guesthouse in Lawrence Township,Adorable studio cottage near Princeton,Iowa,156,4/29/2023,5/4/2023,4/29/2023,5/4/2023,116,116,$116 night$116 per night,4.8,93
Home in Monroe Township,Experience the perfect blend of nature & comfort!,Iowa,108,5/13/2023,5/18/2023,5/13/2023,5/18/2023,117,117,$117 night$117 per night,4.9,68
Apartment in Langhorne,Glamorous Marilyn Monroe Suite in Bucks County,Iowa,182,4/19/2023,4/24/2023,4/19/2023,4/24/2023,200,200,$200 night$200 per night,5,18
Private room in New Brunswick,Rm #3 Lg Private Rm by Rutgers+NYC + Jersey Shore,Iowa,146,4/27/2023,5/2/2023,4/27/2023,5/2/2023,55,55,$55 night$55 per night,4.9,665
Farm stay in Pemberton,Private Apartment. Welcome to the farm!,Iowa,131,4/30/2023,5/5/2023,4/30/2023,5/5/2023,129,129,$129 night$129 per night,4.9,205
Private room in Manasquan,The Sea Loft,Iowa,321,5/29/2023,6/5/2023,5/29/2023,6/5/2023,133,148,"$148 $133 night$133 per night, originally $148",4.9,63
Condo in Hopewell,Private apartment in 1890’s chocolate factory.,Iowa,153,5/7/2023,5/12/2023,5/7/2023,5/12/2023,175,175,$175 night$175 per night,4.8,82
Cottage in Middletown,Cozy Cottage Retreat on North Jersey Shore,Iowa,104,4/25/2023,4/30/2023,4/25/2023,4/30/2023,149,149,$149 night$149 per night,4.9,90
Home in Little Egg Harbor Township,Blue Lagoon Retreat w/ Dock & Water Toys!,Iowa,124,4/23/2023,4/28/2023,4/23/2023,4/28/2023,159,179,"$179 $159 night$159 per night, originally $179",4.9,46
Private room in Red Bank,Red Bank ~ a cool little town at the Jersey Shore,Iowa,151,6/7/2023,6/12/2023,6/7/2023,6/12/2023,95,95,$95 night$95 per night,4.9,242
Home in Red Bank,Quiet 2 bedroom with resort setting,Iowa,140,4/24/2023,4/29/2023,4/24/2023,4/29/2023,150,150,$150 night$150 per night,4.9,43
Cabin in Medford,Medford Lake! Pine Barrens Lakefront Beach Resort!,Iowa,234,4/23/2023,4/28/2023,4/23/2023,4/28/2023,355,355,$355 night$355 per night,5,20
Condo in Matawan,"1 Bedroom,1 Bath,1 Full Kit,1 Liv Rm Furnished 311",Iowa,214,5/7/2023,5/12/2023,5/7/2023,5/12/2023,99,99,$99 night$99 per night,4.8,85
Home in Ewing Township,Cozy 2-bedroom home on quiet dead end street,Iowa,288,4/24/2023,4/29/2023,4/24/2023,4/29/2023,100,100,$100 night$100 per night,4.8,110
Guesthouse in Seaside Park,Little Cottage Steps from the Beach,Iowa,107,9/30/2023,10/5/2023,9/30/2023,10/5/2023,86,86,$86 night$86 per night,4.9,127
Home in Neptune Township,The Stockton - Victorian Ocean Grove near Asbury,Iowa,237,4/27/2023,5/3/2023,4/27/2023,5/3/2023,163,163,$163 night$163 per night,4.9,272
Home in Hammonton,Sweetwater House on the Mullica River,Iowa,139,4/19/2023,4/24/2023,4/19/2023,4/24/2023,398,398,$398 night$398 per night,4.9,21
Cottage in Lavallette,Cute Cottage,Iowa,312,5/14/2023,5/19/2023,5/14/2023,5/19/2023,118,155,"$155 $118 night$118 per night, originally $155",4.9,91
Condo in Seaside Park,Cozy Seaside Park Condo,Iowa,151,4/24/2023,4/30/2023,4/24/2023,4/30/2023,85,100,"$100 $85 night$85 per night, originally $100",4.9,29
Home in Seaside Heights,Comfortable Trendy seaside home,Iowa,701,4/23/2023,4/28/2023,4/23/2023,4/28/2023,120,120,$120 night$120 per night,5,14
Bungalow in Lavallette,Ocean Beach III Shore Bungalow,Iowa,113,4/19/2023,4/24/2023,4/19/2023,4/24/2023,150,200,"$200 $150 night$150 per night, originally $200",4.9,53
Vacation home in Asbury Park,Brand new vacation home near downtown,Iowa,227,4/23/2023,4/28/2023,4/23/2023,4/28/2023,164,164,$164 night$164 per night,4.9,42
Apartment in Wall Township,"Beautiful Apartment, near Marina & Beach in Belmar",Iowa,124,4/20/2023,4/26/2023,4/20/2023,4/26/2023,154,154,$154 night$154 per night,4.8,43
Apartment in Point Pleasant Beach,Close to beach,Iowa,125,5/6/2023,5/13/2023,5/6/2023,5/13/2023,144,144,$144 night$144 per night,4.8,309
Home in Berkeley Township,Sunsets that never quit!,Iowa,309,4/23/2023,4/28/2023,4/23/2023,4/28/2023,195,250,"$250 $195 night$195 per night, originally $250",4.9,155
Condo in Long Beach Township,Cozy LBI Studio close to the beach.,Iowa,211,4/23/2023,4/28/2023,4/23/2023,4/28/2023,109,109,$109 night$109 per night,4.9,412
Home in Keansburg,Welcome to Paradise!!! The perfect beach cottage!,Iowa,166,4/23/2023,4/28/2023,4/23/2023,4/28/2023,247,247,$247 night$247 per night,4.8,29
Apartment in Neptune Township,Two Bedroom || 2.5 Blocks To The Beach,Iowa,178,4/22/2023,4/27/2023,4/22/2023,4/27/2023,160,160,$160 night$160 per night,4.8,146
Home in Allentown,Hidden Pond Farm Estates featuring a huge pool,Iowa,202,4/20/2023,4/25/2023,4/20/2023,4/25/2023,624,624,$624 night$624 per night,4.9,144
Townhouse in Beach Haven,Loft Style 1 Bedroom In The Heart of Beach Haven!,Iowa,157,5/12/2023,5/17/2023,5/12/2023,5/17/2023,NA,NA,€ 441 night€ 441 per night,4.9,32
Home in New Hope,Charming Victorian in the heart of New Hope,Iowa,114,5/2/2023,5/7/2023,5/2/2023,5/7/2023,NA,NA,€ 316 night€ 316 per night,4.9,166
Home in Lavallette,Shore Haven Walk to beach and bay,Iowa,120,5/4/2023,5/9/2023,5/4/2023,5/9/2023,NA,NA,€ 326 night€ 326 per night,5,87
Apartment in Asbury Park,Lovely 1-Bedroom Apartment Steps from AP Beaches,Iowa,144,4/24/2023,4/29/2023,4/24/2023,4/29/2023,NA,NA,€ 214 night€ 214 per night,4.8,5
Home in Ocean Township,House on the Lagoon,Iowa,103,4/20/2023,4/25/2023,4/20/2023,4/25/2023,NA,NA,€ 546 night€ 546 per night,5,33
Home in Spring Lake,Entire House in Spring Lake Heights,Iowa,120,5/13/2023,5/18/2023,5/13/2023,5/18/2023,NA,NA,€ 227 night€ 227 per night,4.9,63
Apartment in Hammonton,Casa de Sweetwater- 3 bedroom- Waterfront,Iowa,105,4/19/2023,4/24/2023,4/19/2023,4/24/2023,NA,NA,€ 453 night€ 453 per night,5,39
Home in Atlantic Highlands,Renovated Modern Farmhouse Near Woods and Beach,Iowa,123,5/3/2023,5/8/2023,5/3/2023,5/8/2023,NA,NA,€ 504 night€ 504 per night,5,15
Home in Ocean Gate,The perfect place to escape,Iowa,100,5/11/2023,5/17/2023,5/11/2023,5/17/2023,NA,NA,€ 598 night€ 598 per night,4.9,155
Apartment in Highlands,NJ Shore/Waterview/Beach Escape/Sandy Hook,Iowa,149,5/18/2023,5/23/2023,5/18/2023,5/23/2023,NA,NA,€ 281 night€ 281 per night,4.9,82
Guesthouse in Seaside Park,Little Cottage Steps from the Beach,Iowa,107,9/30/2023,10/5/2023,9/30/2023,10/5/2023,NA,NA,€ 125 night€ 125 per night,4.9,127
Home in Long Branch,*HIDDEN GEM* Renovated Beach House-walk to beach,Iowa,200,6/10/2023,6/15/2023,6/10/2023,6/15/2023,600,600,$600 night$600 per night,5,8
Home in Long Beach Township,Cabin by the Sea w/ parking in Beach Haven,Iowa,173,4/23/2023,4/29/2023,4/23/2023,4/29/2023,258,258,$258 night$258 per night,4.9,55
Condo in Beach Haven,Good Times & Tan Lines @ the Victoria Rose,Iowa,133,4/19/2023,4/26/2023,4/19/2023,4/26/2023,199,199,$199 night$199 per night,4.8,22
